Run;Error
1;40.2046998311841
2;41.208791991246
3;29.6602227916496
4;42.2931957126371
5;25.1362453206992
6;35.6665289305481
7;35.7958560045564
8;38.1431683973659
9;29.4847810662886
10;65.2951417142836
11;38.0428346518677
12;109.118326375958
13;39.2949052266249
14;31.2535168766602
15;53.4216270728598
16;60.5439312520421
17;39.3471198675715
18;70.60304413963
19;74.0827562363473
20;40.9581585605357
21;55.5167259269808
22;81.9691036179011
23;26.2847594062465
24;64.2449771403922
25;61.0670253392622
26;25.3940643268818
27;36.26579727867
28;50.4205878979024
29;25.4345312664969
30;38.7710438405321
31;26.3303270097123
32;37.0802652045009
33;74.9711130729728
34;35.1931532107116
35;31.8922195036822
36;50.0756078433052
37;33.0217367171241
38;36.3610773251205
39;39.9612186244516
40;32.4441975601196
41;61.6325070794499
42;34.7196421063356
43;64.7739243857523
44;40.8038710466755
45;57.6187594949135
46;49.6002151593451
47;33.24712425794
48;27.0711407617414
49;53.068655483783
50;42.3708172905289
51;33.9886182708318
52;36.0349603162643
53;70.2105521041769
54;34.7451181957889
55;23.8318456609191
56;43.3592829256769
57;32.0904523660369
58;38.9385340892088
59;35.8374688990141
60;37.2186100144378
61;76.552992234793
62;30.5373688949195
63;31.2920385158553
64;58.7228124081939
65;34.2767217305623
66;85.3202277069394
67;67.0158701473421
68;31.536192681309
69;41.8205905376385
70;32.3402157302821
71;47.9248078851214
72;34.5325821364151
73;31.3342985409749
74;30.9721169583106
75;35.9611996618249
76;37.6373435899474
77;33.3844719420795
78;67.937700449116
79;28.43710609336
80;23.1304952885208
81;36.6260133245348
82;28.1494006209506
83;58.4400043323522
84;31.7504761825103
85;37.6172291472979
86;60.3346272472492
87;39.8999343257052
88;45.7157956959677
89;40.3251238713743
90;33.6573689614169
91;30.5462645133403
92;48.5234410472533
93;36.2375583326746
94;54.5841453410609
95;35.3986334815533
96;34.8454352153154
97;37.2715246313991
98;41.0971484825351
99;49.0349823136992
100;38.4609564859947
