Run;Error
1;5.16202825537635
2;5.11725222619941
3;5.27778864768906
4;5.0908890459332
5;5.25227821548789
6;5.1183815789746
7;5.35536944658906
8;5.41810610468262
9;5.12568996335343
10;5.18865842133969
11;5.10851214490591
12;5.1827113233712
13;5.11146933372476
14;5.18054401030385
15;5.10500287241597
16;5.23018465765813
17;5.3004826968922
18;5.32646012582915
19;5.42114039087716
20;5.11389813401214
21;5.61599970310639
22;5.12239873592269
23;5.13143006102522
24;5.1862269014528
25;5.10869817091664
26;5.27888572722733
27;5.39547197751432
28;5.32716890540489
29;5.59111069897812
30;5.32939659042029
31;5.32045976747451
32;5.08738079178859
33;5.1586922700596
34;5.22975879285867
35;5.23722053090647
36;5.4835380668976
37;5.34809640025291
38;5.11651620074434
39;5.25184465394299
40;5.17636777220511
41;5.09659397356741
42;5.13222659491015
43;5.33173288210484
44;5.17854984293809
45;5.14185583715118
46;5.1594821956777
47;5.17200180544304
48;5.16275009593288
49;5.21789834769294
50;5.43160666416576
51;5.28394818567636
52;5.42280513718595
53;5.18783211002161
54;5.09429347404968
55;5.16665788532163
56;5.10212104609118
57;5.39816663185083
58;5.22432417304644
59;5.51535263273737
60;5.15314979760704
61;5.24752493504826
62;5.16771693489602
63;5.13193942156095
64;5.14401926710675
65;5.17879793161419
66;5.10619368161919
67;5.24853161700353
68;5.40392543465569
69;5.31662130829374
70;5.27418544987062
71;5.24318113545205
72;5.21985386602433
73;5.25875838117705
74;5.17122510284162
75;5.09948176440129
76;5.20794427128673
77;5.24838488811454
78;5.35674817334694
79;5.2181860450815
80;5.45419099162078
81;5.23366218203039
82;5.11356182650341
83;5.16697565578297
84;5.83672647193703
85;5.11723016741959
86;5.22209820033794
87;5.15669382142866
88;5.16755069717414
89;5.41249014363347
90;5.13253559967389
91;5.130875321378
92;5.1731951925511
93;5.19517002925936
94;5.59350462049915
95;5.23901672535446
96;5.16433261331938
97;5.27117058282691
98;5.2528164502551
99;5.18028460504327
100;5.37618392895115
