Run;Error
1;27.375772006731
2;29.2963410433104
3;20.2470540641793
4;20.6816728772361
5;15.8818595761175
6;15.1123736715551
7;14.2711391990208
8;15.5409125414933
9;14.2305510378071
10;13.8310247073224
11;13.0735961249637
12;16.0840851781823
13;15.7439875827857
14;15.3403442828186
15;15.0282137986854
16;27.6384312054001
17;15.5821967656756
18;29.5932684034735
19;15.0450334663321
20;27.0367822820457
21;16.4031386458548
22;19.077943292599
23;28.5647681436616
24;23.9337865704775
25;28.0783197196121
26;24.1079571162862
27;23.7347932079785
28;14.9782147716806
29;7.82097440764577
30;15.9034900195079
31;7.03672704950706
32;14.9047775304299
33;27.3895443968556
34;15.7069606267159
35;22.9809994279948
36;28.0695359185225
37;15.0479037654097
38;16.1723534879622
39;15.7720039151197
40;15.9990857815103
41;16.5359311306832
42;24.8977720872263
43;18.63753245744
44;14.5988249407379
45;19.7957621291527
46;15.6205072579413
47;12.9123330832592
48;14.9865298607071
49;27.162508364216
50;20.6312225691681
51;7.33655736164928
52;15.6065583925532
53;26.8140436309618
54;19.071551727267
55;14.6718579202344
56;28.5301605044547
57;15.5931736620762
58;14.8668837709412
59;27.8879094004631
60;13.6205311503727
61;28.5051628772302
62;16.5427954419081
63;24.929846537658
64;19.1227574712293
65;8.69622314149388
66;17.9706969180039
67;16.6921957150872
68;23.4387997535701
69;15.9724551835912
70;25.6453094981479
71;14.9879451259117
72;29.8588458943609
73;14.4352050005608
74;25.1528383437718
75;16.2865794852472
76;27.6960954883783
77;15.4490803412568
78;15.0646624980129
79;14.2084720980735
80;14.5993027742781
81;16.0986605370801
82;18.8814949549834
83;28.3999306579371
84;14.0441730910703
85;29.6282993282218
86;27.9278166115222
87;16.7709486858774
88;28.6299599070916
89;14.4788718084601
90;14.4601915098124
91;17.6778162621899
92;27.1110877010922
93;22.7908702435688
94;21.7073682910723
95;11.0639740421027
96;15.6728343530559
97;27.3562031746654
98;18.0231494698377
99;25.4808558501911
100;15.9476017939715
