Run;Error
1;36.6648919947533
2;41.0618860495414
3;41.3654312260504
4;36.5997145050331
5;30.342421796514
6;41.3784783026809
7;36.6404573577873
8;36.5666094831565
9;42.3093072037979
10;36.4210180253782
11;31.2611646847181
12;41.2539810186028
13;36.5059210587601
14;29.5714415655496
15;36.534202184027
16;40.6298858924608
17;42.2875557879514
18;41.3632245049366
19;34.6167176185615
20;41.8529323364993
21;36.4091187315868
22;42.0010429584035
23;41.4196963480156
24;30.7363082543773
25;36.6799394975105
26;41.5529198680676
27;36.6874231013524
28;43.217331698874
29;41.4478300672176
30;40.3907161191925
31;34.5076798927267
32;35.9018591396612
33;41.461920275187
34;31.2265328146983
35;35.772891337152
36;31.4812336441947
37;35.7620191889625
38;31.8183192315295
39;31.4736833623563
40;41.0060285188774
41;40.9752096504838
42;37.8406792535417
43;36.2610512802003
44;30.6078888604669
45;41.2724512519946
46;42.4026810245137
47;31.5964079975372
48;41.1836681440461
49;31.0044521817969
50;41.2777788098366
51;31.2570026876294
52;31.7288796358231
53;36.7776055889501
54;41.0372187586157
55;36.410604235474
56;41.3389895762229
57;41.4103087534896
58;36.5042075136195
59;43.8079721114216
60;29.2881243037814
61;35.6807219506322
62;36.4428327720992
63;41.2697190772966
64;36.5819952776957
65;36.4931567339166
66;36.5978156930666
67;41.8597868042138
68;32.0174904696813
69;41.1239830383501
70;41.3165229413492
71;30.3639580405958
72;41.0659830751816
73;34.9773166334014
74;31.7225265141344
75;46.2664301101647
76;40.8626855388096
77;36.0333602616068
78;31.3551870933607
79;40.9750694766458
80;29.4981997196856
81;44.040194139535
82;36.6471642017235
83;42.7570736440407
84;46.7864463711607
85;41.0180206606635
86;36.3621141852011
87;36.2344368828113
88;35.9097320085021
89;36.5278914691786
90;47.8364762327751
91;31.5893910375995
92;41.4609625416259
93;36.4361745469345
94;31.447756164253
95;41.2395801244374
96;35.701825275924
97;41.9795361330206
98;35.6870799768219
99;36.5415432935357
100;36.5384588609712
