Run;Error
1;59.205003734763
2;59.6649201199598
3;46.0163347823554
4;58.8950886791844
5;46.2068496962581
6;46.2892755790873
7;45.9228374686677
8;58.9617391321029
9;46.1287258402908
10;45.9659093142008
11;44.5047725591729
12;184.943308144522
13;58.6299471989168
14;58.6922790390038
15;45.4374152910531
16;59.0452093954467
17;59.6179730959786
18;45.3044749988506
19;59.020516100444
20;46.1287258402908
21;46.1287258402908
22;132.544906011774
23;41.8877404737807
24;58.8993691649863
25;145.382141608219
26;59.6649201199598
27;45.6032438615823
28;59.231847651968
29;60.3059413437667
30;45.6960362111666
31;45.9228374686677
32;44.9914419602494
33;45.7140584851546
34;46.1287258402908
35;45.994270410723
36;57.1789080057222
37;59.0050345088687
38;96.4342655749538
39;62.9672178647172
40;59.6649201199598
41;41.8203257115269
42;43.6336115445174
43;46.216237448536
44;45.0925862360885
45;44.828021061176
46;46.1287258402908
47;57.8315461332603
48;34.7228780815081
49;59.4469060293708
50;38.7956759197791
51;44.7666491999299
52;60.7164271792673
53;45.7366897188977
54;46.1287258402908
55;46.282763321724
56;46.1287258402908
57;58.3857378657365
58;45.9659093142008
59;45.927088165683
60;46.1308795554663
61;59.281091681089
62;80.9254135010424
63;46.1287258402908
64;59.6649201199598
65;45.0866784904544
66;45.6732474102473
67;45.3475207781714
68;45.1297185247687
69;62.9997784526798
70;42.0170040216661
71;44.9797895072697
72;46.0638976731256
73;59.0465695636316
74;42.1716129029137
75;41.7802825015213
76;47.7689540293561
77;106.137738394081
78;41.9737043420569
79;46.5033211559122
80;46.1287258402908
81;57.6801291660468
82;41.9388445952334
83;45.9432143373288
84;45.4727957033189
85;59.205003734763
86;82.6885841607532
87;59.6649201199598
88;59.6649201199598
89;45.0103674866998
90;46.1287258402908
91;45.9191150837904
92;43.6954527438939
93;41.9195608658838
94;46.0769295565451
95;45.5043556801432
96;45.8245282300513
97;46.2303102900103
98;46.1443824829143
99;40.9006061057938
100;46.1287258402908
