Run;Error
1;61.7409027407107
2;44.4108752305068
3;61.4677047361562
4;64.5351418096597
5;76.8903559323443
6;71.0567307782503
7;31.3810692736027
8;30.9595240861529
9;71.6711856063403
10;96.7531848314107
11;59.6762797029051
12;52.3115795938112
13;42.6925749908858
14;44.51897911658
15;39.2908441041624
16;32.5873327232455
17;86.4697841402018
18;19.6485285893499
19;75.4035086505635
20;54.5234109685796
21;29.0222902887908
22;85.9702085540315
23;72.7604807232228
24;25.7998038598667
25;46.9778517273299
26;70.0871030701236
27;69.4845652953743
28;49.1389165152778
29;59.3774113947061
30;24.0090893932281
31;65.0185491600706
32;59.6497542960639
33;72.56271299857
34;60.504420242679
35;23.0137635124819
36;32.3199034437178
37;73.6613064958289
38;70.3232364108127
39;37.6784477976154
40;88.786592256797
41;71.3722969799466
42;45.2911059443712
43;41.4374646038607
44;28.6160738479031
45;49.0176519302534
46;36.4561708477569
47;84.4836827260675
48;58.343367896128
49;28.4850428107638
50;48.954026686827
51;44.5327953928171
52;61.5037823216021
53;71.6409483970055
54;70.5257567202556
55;56.6446040948966
56;65.1917834178225
57;111.598546494365
58;59.8199693538903
59;45.3266877939759
60;65.3797132629121
61;48.5549316815222
62;43.3023441859793
63;57.7052076098889
64;35.4352854920687
65;43.7950264045799
66;28.5635318372813
67;78.7409891330567
68;36.3979426996559
69;60.0905112961928
70;48.0591172663406
71;33.3018065271404
72;74.0442085339548
73;69.0475545430462
74;36.0872876699826
75;81.6306190223758
76;34.4272016777376
77;78.432921189084
78;94.9986708176977
79;59.8836870238802
80;20.0374972026253
81;47.1945426449888
82;38.2162064241263
83;74.2650836386073
84;83.763934298128
85;93.448336556434
86;48.2414877593071
87;68.2420318038717
88;98.5192850816812
89;37.1377220497439
90;88.2703776896775
91;49.852416467344
92;48.6583315958982
93;51.6193706708165
94;28.2310320801201
95;37.4772788547541
96;75.1859289020225
97;57.2165670511762
98;23.8230486431098
99;62.1017612553627
100;31.9996916979967
