Run;Error
1;5.12450332597877
2;5.22798166326372
3;5.18562172079987
4;5.18617134566759
5;5.26532743650874
6;5.20932673067618
7;5.2300442245127
8;5.21048875220038
9;5.31019532813589
10;5.19231545766475
11;5.11345551705282
12;5.14909507781328
13;5.27021912601858
14;5.34013778674006
15;5.30159350626483
16;5.36466140956905
17;5.19895301021863
18;5.26016716836844
19;5.33948886268706
20;5.13688889949225
21;5.19092118182199
22;5.21266457460366
23;5.33799754350192
24;5.2114268061661
25;5.30241826582996
26;5.19096075716369
27;5.16887536029483
28;5.1617636506458
29;5.18947316874258
30;5.27491440261101
31;5.25927343835504
32;5.25636759467552
33;5.16113501456447
34;5.36530208621404
35;5.18118404556181
36;5.13182202495499
37;5.15435273637248
38;5.21724302446553
39;5.18798876312209
40;5.31142499224341
41;5.41415335806895
42;5.16918391099827
43;5.29569863247877
44;5.11873411115572
45;5.17893009360467
46;5.17283204574098
47;5.21937884850917
48;5.31735372464166
49;5.19724882216434
50;5.40197403446318
51;5.21711607819785
52;5.16663794125625
53;5.14985553352602
54;5.16636146467707
55;5.13800967949702
56;5.25121261749563
57;5.37980099421804
58;5.31069686865565
59;5.2260050604895
60;5.13753493026676
61;5.19704625887456
62;5.14831848338502
63;5.1709154030014
64;5.13148532743408
65;5.16218070415749
66;5.45858204225912
67;5.16326079195666
68;5.3793351241925
69;5.21488960165363
70;5.35477189361885
71;5.16216348715799
72;5.20653049842035
73;5.19263773807486
74;5.20614506500297
75;5.30109100117123
76;5.23313422326504
77;5.19726532828041
78;5.16426054764154
79;5.1933060023762
80;5.24155420817372
81;5.40922972269359
82;5.22011995274888
83;5.23175781929956
84;5.29364510458322
85;5.20357910026047
86;5.17695932190981
87;5.19962447391083
88;5.17103599890792
89;5.2634622594275
90;5.1385464301114
91;5.15143681780074
92;5.25008937074345
93;5.25405019023651
94;5.20439424125785
95;5.13748382732267
96;5.13173555706491
97;5.16456560009116
98;5.15036134843105
99;5.15482934216141
100;5.20542731811451
