Run;Error
1;5.69326911304293
2;5.19927173269337
3;5.31022119387051
4;5.18963495080827
5;5.13043878254143
6;5.17559815102374
7;5.32215555922966
8;5.23035366672592
9;5.18869296842253
10;5.18789099056414
11;5.3042601092918
12;5.17661633856993
13;5.33929951999536
14;5.13195150836484
15;5.14819408879924
16;5.19444664798884
17;5.25760954947156
18;5.08823774626732
19;5.09756858937381
20;5.18272544414936
21;5.21614941965466
22;5.29380055463444
23;5.08311748746724
24;5.1261093712782
25;5.09462670071247
26;5.22058943828517
27;5.40260855639242
28;5.20044738748477
29;5.13286851289325
30;5.15979595460066
31;5.13802908069023
32;5.30065056524472
33;5.28688589430413
34;5.12369430150447
35;5.19102835226814
36;5.30995230873692
37;5.13611723158245
38;5.13711979714151
39;5.22188112917586
40;5.21806960218503
41;5.31304949012056
42;5.28285365782441
43;5.2577274538365
44;5.23386474589805
45;5.28019460902426
46;5.42905272659879
47;5.15292134456833
48;5.13498878818151
49;5.15195670154742
50;5.09948420361705
51;5.14715881160013
52;5.14203915993753
53;5.55516458410587
54;5.29269680173722
55;5.21250397808792
56;5.27944115403286
57;5.19827109877567
58;5.39799724348221
59;5.17360566158628
60;5.23044782929296
61;5.88858290305375
62;5.20120554219595
63;5.27522534374718
64;5.10579343960947
65;5.20262224191478
66;5.31208213151031
67;5.16944071079046
68;5.20445040996064
69;5.08804999936738
70;5.13130418497405
71;5.26562598531653
72;5.17012400990413
73;5.15999688792056
74;5.17791810793013
75;5.22924156933668
76;5.25941482890195
77;5.17069438092457
78;5.25491445805031
79;5.28088440229656
80;5.29094830827255
81;5.09611000583497
82;5.1872342777016
83;5.13192447880094
84;5.10045720073925
85;5.20547257347096
86;5.08316183911627
87;5.10669083344912
88;5.10047386515809
89;5.16113405523394
90;5.13143607292283
91;5.12286870885251
92;5.39699536660324
93;5.65221448215318
94;5.23214995925162
95;5.08743204051584
96;5.21290083066978
97;5.88796033491513
98;5.13512542917484
99;5.31736386917832
100;5.10303165603792
