Run;Error
1;22.3155974748372
2;15.1747827394266
3;20.7651735431833
4;17.4902954314392
5;11.887801863437
6;21.1987602945453
7;23.8278013763005
8;25.0539455528661
9;17.5828183426526
10;24.2716788625297
11;20.7508071027641
12;20.7435414065181
13;25.0601809752572
14;17.6855049733102
15;22.1563356141455
16;19.883420368746
17;16.1433727159872
18;16.9217964346228
19;28.9092431549488
20;30.6214314882965
21;30.6361749583011
22;23.9603753388212
23;25.00525018258
24;20.4903567191739
25;21.4620794002436
26;18.2528842512107
27;22.8104729842152
28;18.5323606935928
29;26.1254240173352
30;52.7177782713023
31;22.1596559695191
32;27.8891341222745
33;13.1714516258524
34;19.9745935357515
35;16.9661043530281
36;11.0207115098158
37;81.4678759976007
38;23.787590771702
39;21.8908411926699
40;16.6708991202685
41;20.4771254245853
42;13.4515729210614
43;29.4980750885763
44;22.2354042942168
45;21.2097519872433
46;39.4467734670419
47;23.4687466742546
48;43.1955295848975
49;21.3781802526924
50;26.5525452401706
51;19.1599647808319
52;21.7567005339227
53;16.3533488076134
54;15.3171933429564
55;22.8198735516218
56;32.725558509786
57;37.7956339735854
58;19.6277405635783
59;15.4989247548049
60;24.4785715904148
61;11.7565105180958
62;21.4559444782263
63;25.4331324676451
64;18.2676454018605
65;22.4041267959715
66;15.417322295264
67;15.1413743184677
68;16.7757719384215
69;19.300402172988
70;45.1098827007839
71;35.4799841391486
72;11.7147971751945
73;36.5058179942634
74;29.1849335449571
75;11.7609319699204
76;17.9415812262988
77;15.2448707407454
78;43.3474173409793
79;15.6914169660733
80;26.590537671716
81;25.2351551049256
82;35.0645462817532
83;49.4200803551691
84;17.0858033028459
85;11.4131482518315
86;36.5359647331223
87;32.5204321727587
88;46.1371546986099
89;48.868828608923
90;20.0128396635037
91;21.0998566741102
92;12.465734594987
93;24.4925236997444
94;24.6794700277629
95;31.3288608521731
96;58.2492092866339
97;17.2578361165105
98;13.1950730045218
99;47.3326224118463
100;25.5924144294083
