Run;Error
1;31.1249059861734
2;26.0218064667074
3;32.2265322867018
4;33.1627895432697
5;31.383722815182
6;27.7051341109651
7;32.6930120520451
8;30.0968107801528
9;23.6470674127188
10;30.3242380100602
11;24.1117543692306
12;40.0523397491571
13;32.6541682506587
14;26.8416591771571
15;25.7419057650865
16;25.3395838800354
17;21.6912240467269
18;25.2792691224908
19;27.2249125073123
20;35.2822075575314
21;28.5635603563097
22;27.8542039349287
23;31.6913894255607
24;29.5685827715862
25;32.1162871248572
26;21.5228520737328
27;33.0135157318543
28;38.6693221431574
29;19.9987830857122
30;38.6109384717247
31;25.2718407710636
32;30.9782201904566
33;29.2659708075972
34;29.6694606198625
35;40.2934128388786
36;26.4185166970603
37;22.2476287839061
38;37.8763870169222
39;38.2639884201531
40;30.0381367668562
41;30.2752836309127
42;29.9390052535568
43;24.9205497946834
44;30.3435912797368
45;24.0371607695542
46;50.0480504312878
47;27.8221610221247
48;33.5723258282703
49;28.1993404799038
50;28.0486222151338
51;40.3320339421219
52;42.8254818621436
53;28.2553223008138
54;30.0184746605117
55;24.1893340792039
56;34.5141649321916
57;42.5246379298477
58;36.2669342671268
59;37.2898843139583
60;24.1448109932598
61;33.7518070644143
62;29.0571577048042
63;30.4035073692671
64;30.5034680368878
65;51.5387090058689
66;32.0569263941481
67;35.8844255141817
68;28.0520847090291
69;35.2797086577355
70;31.5819618835907
71;29.8474263979337
72;31.4730545687527
73;33.0374829430709
74;22.4111458110792
75;35.0070318441433
76;22.5810884507624
77;21.8111312202795
78;27.2718738151152
79;28.6015018772872
80;46.0299120276347
81;37.7865325344208
82;23.3795056142971
83;33.5192840442137
84;26.6875096747384
85;45.4186912285144
86;37.6286988788139
87;32.1599194906874
88;35.5028768009625
89;33.1715429909393
90;28.7847424814009
91;37.1627874707317
92;30.6863435950594
93;27.8132864832551
94;41.6555849101504
95;40.0666221733701
96;28.2295305054442
97;28.6815488378365
98;40.4010976374197
99;25.1410207628381
100;38.0302331772376
