Run;Error
1;11.3624141149926
2;15.8532471759833
3;12.6069613961752
4;20.4378630829033
5;9.6407310854446
6;12.4624851993508
7;10.3259371293617
8;12.5765487548737
9;15.2540359601046
10;12.6270145196752
11;12.0428373891115
12;8.76400980563954
18;23.0701320194928
19;10.3822443301365
20;16.0839364768381
21;13.1089839465408
22;15.5338420230031
23;12.4328715492127
24;12.6361568619163
25;15.4545141400902
26;16.4787555545552
27;16.1320990399387
28;17.7574436103003
29;15.2701251611288
35;12.6568660245587
36;11.9343272719249
37;19.6067862623483
38;11.8681678716916
39;12.451643808519
40;12.0476599771757
41;9.49408109425055
42;12.4431211949444
43;13.9046517806052
44;12.4238035383786
45;13.029893512798
46;12.5163638181849
52;9.51279236464119
53;12.1969042295591
54;12.4763705186325
55;14.7895827501005
56;15.8090890456639
57;14.168562343689
58;12.469366105387
59;15.2851442611238
60;10.3435670773849
61;13.0649887062076
62;12.3149966669047
63;15.2856159103478
89;14.7940863146767
90;14.5940448990169
91;16.2587024932901
92;12.5412128820438
