Run;Error
1;13.8508692786721
2;36.300764915786
3;14.531974476752
4;17.0214700253958
5;13.8722556778415
6;13.7997894051556
7;13.5002746149201
8;13.8775467765979
9;17.1457736913619
10;13.8293811027925
11;13.8065777066768
12;15.9350663026904
13;14.4305664138566
14;17.0609025622037
15;13.7786395853212
16;14.5353930310017
17;13.7907329614422
18;13.8438926407996
19;14.5845589007977
20;34.9770494475722
21;15.1338345482817
22;14.6958985064181
23;13.8219126120832
24;34.9941529861664
25;14.9980392077801
26;13.8722556778415
27;14.2460535253928
28;13.8775467765979
29;34.9770494475722
30;17.0609025622037
31;16.0150704929077
32;13.8438926407996
33;13.8383715322375
34;14.9624118970215
35;14.531974476752
36;17.0242152953638
37;16.9036165268047
38;13.4435794810151
39;14.6453657195544
40;36.3133507270093
41;16.0460401816683
42;14.4305664138566
43;14.8144523507777
44;13.8508692786721
45;15.4424168440769
46;14.4062165862729
47;25.336033534133
48;36.0939585838633
49;14.4177336492848
50;34.4547906616064
51;13.8433006297499
52;14.9294055906392
53;13.6228003571116
54;17.1745767260958
55;20.6093769903814
56;15.744421276602
57;17.0948993188894
58;14.9018029092746
59;13.624035270115
60;34.9699411684117
61;34.5622759825096
62;14.6572321164928
63;13.8508692786721
64;25.336033534133
65;14.5003885854045
66;17.0554962403329
67;14.4786432399845
68;16.012440998833
69;33.9518814420037
70;14.2460535253928
71;14.5429308992734
72;16.8913419419494
73;14.4582102865559
74;34.7264781006926
75;15.1179276568729
76;14.5633638527019
77;34.7005638995724
78;13.6626042583981
79;17.0790742310087
80;15.0231791056902
81;36.2748507146659
82;13.7994779184107
83;13.7159959331558
84;14.4938111342535
85;36.300764915786
86;13.8775467765979
87;14.5381485342117
88;14.6462339992375
89;13.807257895865
90;20.7140219800636
91;13.8722556778415
92;14.3974405241195
93;13.832663193553
94;13.8508692786721
95;13.7070055037109
96;13.8508692786721
97;14.5429308992734
98;34.7069311994421
99;14.4062165862729
100;25.2655424381148
